trait,activebehavior,budgetdiscipline,chaosaffinity,kineticbias,mobilityaffinity,mutationsensitivity,precisionaffinity,resonance,stability,supportpreference,survivalinstinct,volatility
activebehavior,1,1,0,0,0,0,1,0,0,1,1,1
budgetdiscipline,1,1,0,0,0,0,1,0,0,1,1,1
chaosaffinity,0,0,3,1,2,1,1,1,3,0,1,2
kineticbias,0,0,1,3,1,1,1,2,1,0,1,0
mobilityaffinity,0,0,2,1,3,0,2,2,2,0,2,2
mutationsensitivity,0,0,1,1,0,2,0,0,2,0,1,0
precisionaffinity,1,1,1,1,2,0,3,2,1,1,3,2
resonance,0,0,1,2,2,0,2,3,1,0,2,1
stability,0,0,3,1,2,2,1,1,4,0,2,2
supportpreference,1,1,0,0,0,0,1,0,0,1,1,1
survivalinstinct,1,1,1,1,2,1,3,2,2,1,4,2
volatility,1,1,2,0,2,0,2,1,2,1,2,3
